Product Name,Price,Rating,Image URL
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 8GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,325,800",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/8731412/1.jpg?6967
Hp VICTUS GAMING 16 12TH GEN INTEL CORE I7 16GB RAM 1TB SSD GTX 1650 (4GB) WINS 11,"₦ 2,089,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/6350032/1.jpg?2139
Hp PAVILION 14 TOUCHSCREEN 12TH GEN INTEL CORE I7 8GB RAM 512GB SSD BACKLIT KEYBOARD WIN 11,"₦ 1,451,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/6573263/1.jpg?4255
"Asus TUFF DASH GAMING 15 AMD RYZEN 7-7435HS 16GB RAM 512GB SSD RTX 4050 (6GB) BACKLIT KEYBOARD 15.6""FHD WINDOWS 11","₦ 1,840,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/4949304/1.jpg?0929
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 8GB RAM, 512GB SSD,4GB NVIDIA RTX 3050 WINS 11","₦ 1,325,800",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/4973162/1.jpg?3417
"Asus VIVOBOOK PRO 15 GAMING INTEL CORE I5 8GB RAM 512GB SSD NVIDIA GTX 1650 (4GB) 15.6""FHD WINS 11+ Bag","₦ 989,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/4810404/1.jpg?0621
"Acer TRAVELMATE P2 11th Gen, INTEL CORE I7 8GB RAM, 256GB SSD, Backlit Keyboard Wins 10","₦ 850,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/3444304/1.jpg?8247
Hp VICTUS 15 GAMING (2022) INTEL CORE I5 16GB RAM 512GB SSD 4GB NVIDIA RTX 2050 WINS 11,"₦ 1,340,800",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/8284913/1.jpg?4675
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" 6GB Nvidia RTX 4050 WINS 11","₦ 2,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/744789/1.jpg?6983
Hp VICTUS GAMING 16 12TH GEN INTEL CORE I7 8GB RAM 1TB SSD GTX 1650 (4GB) WINS 11,"₦ 2,093,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/5773042/1.jpg?0669
"Hp 15 VICTUS GAMING, INTEL CORE I5, 8GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,408,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/0561412/1.jpg?1460
"Acer TRAVELMATE P2 11th Gen, INTEL CORE I7 8GB RAM, 256GB SSD, Backlit Keyboard Wins 10","₦ 786,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/1451304/1.jpg?1230
Hp 15 VICTUS GAMING 12TH GEN INTEL CORE I5 16GB RAM 512GB SSD 4GB NVIDIA RTX 2050 WINS 11,"₦ 1,335,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/8554913/1.jpg?1783
"Hp VICTUS GAMING 15 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD RTX 3050 (6GB) 15.6""FHD BACKLIT KEY WIN 11","₦ 2,096,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/9166573/1.jpg?2339
Asus VIVOBOOK PRO 15 INTEL CORE I5 UP TO 4.4GHZ 8GB RAM 512GB SSD NVIDIA 1650 (4GB) WINDOWS 11,"₦ 989,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/3014304/1.jpg?6991
"Hp Victus 16"" Gaming 13th Gen Intel Core i5 16GB 512GB SSD 6GB NVIDIA GeForce RTX 3050 Windows 11","₦ 1,850,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/7655104/1.jpg?8379
"Asus VIVOBOOK PRO 16X GAMING INTEL CORE I7 16GB RAM 512GB SSD 16""4K OLED RTX 3050 (4GB) WINDOWS 11","₦ 1,655,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/7655104/1.jpg?8848
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 8GB RAM, 512GB SSD,4GB NVIDIA RTX 3050 WINS 11","₦ 1,326,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/9263162/1.jpg?0916
Hp Laptop 15-fd0107dx-A9PE7UA-12 Generation 512gb,"₦ 1,050,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/9902504/1.jpg?5125
